"Empresas:";"046-QUATAI"
"Almoxarifados:";"GRUPO CSC, INICIALIZAR KM PEÇAS, DESATIVADO, VIÇOTUR, TRES FRONTEIRAS, PARACATU VENDAS, PARACATU, TRES MARIAS, VAZANTE, JOAO PINHEIRO, VARZEA DA PALMA, LASSANCE, CORINTO, JACOBINA, PRIMUS TURISMO, ITABIRA, TEIXEIRAS, VIÇOSA SERVICE, JUATUBA, DESATIVADO, SANFER VIÇOSA, SANFER ITABIRITO, VIACAO VICOSA, ANSAL VITORINO, ANSAL BANDEIRANTES, VIAÇÃO NOROESTE, LAFAIETE, CONGONHAS, GRANBERY EMPREENDIMENTOS, RIO BRANCO, GODINHOS, UNAI, ALTO HORIZONTE, POUSO ALEGRE, ALMOXAIRFADO LAJU, PLANALTO VIÇOSA, CURVELO, ARIPUANÃ, UBA, INATIVO - ALTO HORIZONTE, QUATAI, ITAGUAI, ITAPETINGA, AGUA CLARA, ARACAJU, DESATIVADO, BARÃO DE COCAIS, TRANSPORTADORA CARAÇA, BOCAIUVA, MINEIROS, MACHADO, SAO FRANCISCO, CAMAPUÃ, DOURADOS, CRIXAS, JATAI, RIO VERDE, PRIMAVERA, MINACU, RESENDE, VICOSA SERVICOS ITAPETINGA, MOOV, ITABIRITO, ESKAVA MINA, PIRAI, PARAÍBA DO SUL, INATIVO - ITABIRA, INATIVO - JUATUBA, INATIVO - JUATUBA, INATIVO - JUATUBA, INATIVO - ANSAL FILIAL, INATIVO - ANSAL MATRIZ, INATIVO - RIO BRANCO, INATIVO - UBÁ, INATIVO - ITAPETINGA, INATIVO - ITAPETINGA, INATIVO - ITAPETINGA, INATIVO - UNAI, INATIVO - MACUCO, INATIVO - PARACATU, INATIVO - ITABIRITO, INATIVO - ITABIRITO, INATIVO - TRÊS FRONTEIRAS, INATIVO - PARACATU, INATIVO - ITABIRA"
"Grupos de Produtos:";"LUBRIFICANTE, GRAXA E ADITIVOS, PECAS E ACESSORIOS, BORRACHARIA, SINISTRO, BATIDAS E PINTURAS, SERVICOS EXTERNO VEICULAR"
"Subgrupos de Produtos:";"Todos"
"Produto:";"00000000000 a 99999999999"
"Período:";"28/05/2026 a 28/05/2026"
"Tipo de Relatório:";"Detalhado"
"Imprimir PMU:";"Não"
"Quebrar por Subgrupo::";"Não"
"Imprimir Produtos Inativos:";"Sim"
"Imprimir Apenas Produtos Movimentados:";"Nao"
"Imprime Apenas Produtos com Contabilização de Saída:";"Não"

Empresa: 046 - QUATAI
Almoxarifado: 446 - QUATAI
Grupo: 04 - LUBRIFICANTE, GRAXA E ADITIVOS
Produtos;Saldo Ant.;Total (R$);Qtd. Entrada;Valor (R$);Qtd. Saída;Valor (R$);Saldo;Total (R$);Locação;
"301701 - COURVIN GEOMETRICO AZUL TORINO";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"302058 - ARRUELA TAMPA INSPECAO";"4,000";"3,36";"0,000";"0,00";"0,000";"0,00";"4,000";"3,36";"C6-4";
"302066 - NAO USAR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"302074 - NAO USAR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"302104 - VIDRO BANDEIRA 1280X50MM TORINO2014";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"302112 - ROLDANA ACIONAMENTO RAMPA ELEVADOR T";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"302431 - NAO USAR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"302457 - CANO SERPENTINA KIT ADAPTACAO VW1519";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"302830 - VIDRO PORTA 940X290 TORINO";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"303658 - CILINDRO ELEVACAO PLATAFORMA AUT 110";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"C6-2";
"306631 - PERFIL CANTONEIRA TIPO L PVC AMARELO";"3,000";"60,00";"0,000";"0,00";"0,000";"0,00";"3,000";"60,00";"TE-TO";
"306781 - GARRA BI PARTIDA PLASTICO CINZA 32MM";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"C5-4";
"308121 - PARAFUSO SEXTAVADO 6X20MM";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"309571 - VIDRO JANELA 690X470MM APACHEVIP";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"309621 - NAO USAR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"309691 - NAO USAR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"309761 - NAO USAR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"309771 - NAO USAR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"309821 - APOIO BRACO PASSAGEIRO APACHEVIP2011";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"310761 - NAO USAR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"311731 - VIDRO JANELA MOTORISTA 4 PONTAS 730X";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313254 - VIDRO JANELA MOTORISTA 73 X 53";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313255 - NAO USAR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313256 - VIDRO ITINERARIO 1320X1210MM";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313257 - NAO USAR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313258 - VIDRO PORTA 101X52MM APACHE";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313259 - NAO USAR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313260 - VIDRO BANDEIRA CHANFRADO 1370X480MM";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313261 - VIDRO QUEBRA VENTO 670X185MM APACHEV";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313262 - TIRANTE CINTO SEGURANCA FECHO RETO 4";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313263 - TIRANTE CINTO SEGURANCA FECHO RETO P";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313264 - PUXADOR VIDRO JANELA COMPLETO ENTRE ";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"D";
"313265 - MECANISMO ALCAPAO SAIDA EMERGENCIA A";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"C5-3";
"313267 - RETROVISOR COMPLETO APACHEVIP";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"C";
"313268 - LENTE RETROVISOR ""CF"" VERIF, ANGULO ";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313269 - RETROVISOR COMPLETO EXTERNO TORINO/S";"0,000";"0,00";"4,000";"276,00";"0,000";"0,00";"4,000";"276,00";"C4-2";
"313270 - NAO USAR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313271 - NAO USAR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313272 - BRACO RETROVISOR LD APACHEVIP";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313273 - MOLA ELEVADOR 65MM";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313274 - ROLDANA GUIA PLATAFORMA ELEVADOR ORT";"4,000";"168,00";"0,000";"0,00";"0,000";"0,00";"4,000";"168,00";"C6-2";
"313275 - GRAMPO PNEUMATICO 80/08MM";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313276 - GRAMPO PNEUMATICO 80/10MM";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313277 - NAO USAR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313278 - VIDRO JANELA  PASSAGEIRO 610X738 FUM";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313329 - VIDRO QUEBRA VENTO 737X223";"1,000";"82,00";"0,000";"0,00";"0,000";"0,00";"1,000";"82,00";"";
"313330 - TRINCO TAMPA CAIXA LETRIEIRO APACHE/";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"C5-4";
"313331 - VIDRO VIGIA 1896X837 APACHEVIP";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313332 - BORRACHA VIDRO VIGIA APACHEVIP";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313333 - NAO USAR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313462 - FITA BALAUSTRE AMARELA 50X30";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313463 - BATENTE PVC PORTA";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313464 - VIDRO ITINERARIO 2257X382MM TORINO/2";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313469 - PARAFUSO SEXTAVADO ACO8.8 14X25MM";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313477 - VIDRO JANELA MOTORISTA 730X470MM TOR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313484 - CURVA PINGADEIRA LD APACHEVIP";"1,000";"13,65";"0,000";"0,00";"0,000";"0,00";"1,000";"13,65";"C4-5";
"313486 - NAO USAR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313514 - GRAXA SPRAY 300ML";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313533 - LANTERNA DIANTEIRO AMARELA LE 24V VI";"1,000";"117,00";"0,000";"0,00";"0,000";"0,00";"1,000";"117,00";"C3-2";
"313534 - LANTERNA DIANTEIRO AMARELA LD 24V BR";"1,000";"130,00";"0,000";"0,00";"0,000";"0,00";"1,000";"130,00";"C3-2";
"313572 - LANTERNA TRASEIRO LED VERMELHA SVELT";"2,000";"49,87";"0,000";"0,00";"0,000";"0,00";"2,000";"49,87";"";
"313658 - NAO USAR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313685 - FAROL PRINCIPAL LAMPADA H4 VIGIA 139";"1,000";"57,90";"0,000";"0,00";"0,000";"0,00";"1,000";"57,90";"C2-3";
"313689 - VIDRO JANELA MARCOPOLO TORINO 47X73";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313707 - SETA INFERIOR TRASEIRO TORINO/IDEALE";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"C3-4";
"313735 - NAO USAR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313736 - BORRACHA PORTA MARCOPOLO TORINO";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313737 - NAO USAR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313738 - COURVIN PRETO/CHANCELER";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313739 - COURVIN LISO CINZA";"30,000";"750,00";"0,000";"0,00";"0,000";"0,00";"30,000";"750,00";"";
"313740 - CLIPS ARVORE CINZA CRISTAL 7,8X33MM";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313741 - TARAFLEX MOSAICO SERRA AZUL M²";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313805 - COURVIN VENTILADO PRETO";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313806 - NAO USAR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313807 - NAO USAR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313808 - NAO USAR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313809 - PARAFUSO PONTA BROCA C/ABU FD 4,2X19";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313810 - PERFIL PVC PORTA PRETO";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313826 - ACABAMENTO ARO FAROL LD CROMADO TORI";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313853 - GRADE ESCAMA PEIXE PLASTICO DIANTEIR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"D3-1";
"313868 - NAO USAR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313869 - CONTROLADOR PORTA BRAPAX 24V";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313879 - NAO USAR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313885 - VIDRO BANDEIRA 1510X480MM APACHEVIP";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"313947 - LANTERNA RE LED CRISTAL TRASEIRO TOR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"C3-3";
"314005 - MANCAL MOTOR PORTA TORINO/APACHE/SVE";"1,000";"145,90";"0,000";"0,00";"1,000";"145,90";"0,000";"0,00";"C2-6";
"314014 - BRACO RETROVISOR LD APACHEVIP2013";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"C5-2";
"314016 - PARACHOQUE TRASEIRO APACHEVIP2013";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"314017 - PARACHOQUE DIANTEIRO NEWTORINO/2014";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"314021 - TRINCO RESERVATORIO CAIO APACHE VIP/";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"C5-5";
"314045 - COURVIN BANCO PLASTICO KALEIDOS01 S2";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"314100 - CHAPA TETO EUCATEX 2080X1870MM";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"314101 - VIDRO PORTA 101X44 APACHEVIP";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"314102 - VIDRO JANELA 790X470 APACHEVIP";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"314135 - NAO USAR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"314136 - CHAVE FIM CURSO HASTE LONGA M3OF 16A";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"314141 - GRADE VENTILACAO TORINO";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"314196 - NAO USAR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"314198 - VALVULA DIRECIOANAL ELEVADOR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"314221 - CONTROLADOR PORTA PULSO NEGATIVO 24V";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"314241 - FAROL BAIXO SVELTO/2012";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"C3-5";
"314283 - PONTEIRA PARA";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"314284 - PONTEIRA PARACHOQUE TRASEIRO LE APAC";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"314321 - LANTERNA VIGIA CRISTAL APACHE/2015";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"C2-6";
"314388 - LANTERNA CRISTAL LED RE SVELTO";"1,000";"45,90";"0,000";"0,00";"0,000";"0,00";"1,000";"45,90";"C3-6";
"314389 - MICRO INTERRUPTOR SWITCH FIM CURSO 1";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"C1-5";
"314391 - LANTERNA TRASEIRO LED VERMELHA SVELT";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"C3-6";
"314498 - VIDRO JANELA FIXO 1578X450MM SVELTO";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"314499 - PASSADEIRA ECOFLEX HEP TURQUESA";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"314500 - PASSADEIRA ECOFLEX HEP SERRA AZUL";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"314559 - VIDRO PORTA DIANTERIA LD 1013X906X39";"2,000";"128,00";"0,000";"0,00";"0,000";"0,00";"2,000";"128,00";"";
"314564 - PONTEIRA PARACHOQUE TRASEIRO LD APAC";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"314565 - PONTEIRA PARACHOQUE TRASEIRO LE APAC";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"314571 - VIDRO PORTA 39X106X116 SVELTO";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"314591 - LANTERNA CRISTAL TRASEIRO APACHEVIP";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"314608 - MOLA POLTRONA DEFICIENTE 80MM SVELTO";"4,000";"16,68";"0,000";"0,00";"0,000";"0,00";"4,000";"16,68";"C5-3";
"314641 - LANTERNA VERMELHA TRASEIRO APACHEVIP";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"314669 - VIDRO JANELA PASSAGEIRO FUME FIXO 47";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"314670 - VIDRO JANELA PASSAGEIRO FUME FIXO 47";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"314671 - VIDRO JANELA PASSAGEIRO MOVEL 430X73";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"314672 - VIDRO PORTA DIANTEIRO INFERIOR 1050X";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"314679 - PARAFUSO SEXTAVADO M20X1,5X100";"1,000";"24,25";"0,000";"0,00";"0,000";"0,00";"1,000";"24,25";"";
"314685 - CONTROLE ELEVADOR FOCA";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"C6-3";
"314761 - MANCAL PORTA INFERIOR APACHEVIP";"2,000";"280,00";"0,000";"0,00";"0,000";"0,00";"2,000";"280,00";"C5-6";
"314762 - MANCAL PORTA CENTRAL INFERIOR APACHE";"1,000";"98,60";"0,000";"0,00";"0,000";"0,00";"1,000";"98,60";"C5-6";
"314770 - VIDRO BANDEIRA FUME 1300X475MM APACH";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"314814 - ACABAMENTO MECANISMO LACRE JANELA EM";"4,000";"32,40";"0,000";"0,00";"0,000";"0,00";"4,000";"32,40";"C5-4";
"314842 - TRINCO CAPO SVELTO";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"C5-5";
"314845 - FAROL ALTO 24V LD APACHE VIP";"3,000";"270,00";"0,000";"0,00";"0,000";"0,00";"3,000";"270,00";"C3-2";
"314855 - LUZ SETA TORINO/2020";"2,000";"158,40";"0,000";"0,00";"0,000";"0,00";"2,000";"158,40";"C3-4";
"314934 - ESPUMA ASSENTO BANCO PASSAGEIRO SVEL";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"314936 - MECANISMO ALCAPAO TETO SVELTO";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"314937 - VIDRO PORTA MEIO TRASEIRO 1080X465 S";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"314957 - ENGRENAGEM ULTRA PORTA COMIL";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"314974 - LANTERNA LED RE CRISTAL INFERIOR 96M";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"314980 - NAO USAR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"315008 - LENTE TECLA 1 TORINO";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"315009 - LENTE TECLA 2 TORINO";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"315010 - LENTE TECLA 3 TORINO";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"315027 - CONJUNTO DESCANSA BRACO POLTRONA LE ";"1,000";"88,08";"0,000";"0,00";"0,000";"0,00";"1,000";"88,08";"";
"315028 - FIM CURSO ELEVADOR DHOLANDIA";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"C7-2";
"315029 - VIDRO JANELA PASSAGEIRO FIXO 1365X48";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"315058 - LUMINARIA MINI  LENTE CRISTAL 24V 60";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"315067 - CONCHA BANCO CINZA APACHE VIP";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"315068 - LACRE EMERGENCIA ALCAPAO APACHEVIP";"2,000";"5,80";"0,000";"0,00";"0,000";"0,00";"2,000";"5,80";"C5-3";
"315069 - PASSADEIRA AZUL LUNA SVELTO";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"315071 - REPARO CILINDRO PORTA CAIO";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"315072 - ARO ACABAMENTO COIFA CAMBIO APACHE";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"315078 - BORRACHA VIDRO VIGIA NEWTORINO";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"315115 - TERMINAL ROTULAR PLATAFORMA ELEVADOR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"C7-2";
"315213 - PEDESTRAL BASE BANCO MOTORISTA TRIAN";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"315214 - CARCACA/CUPULA ESQUERDO FAROL APACHE";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"315215 - PERFIL ALUMINIO ACABAMENTO APACHEVIP";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"315216 - KIT PARAFUSO/PORCA QUEBRA VENTO APAC";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"C4-5";
"315217 - APOIO BRACO PASSAGEIRO APACHEVIP";"2,000";"29,50";"0,000";"0,00";"0,000";"0,00";"2,000";"29,50";"C4-4";
"315218 - GARRA BI PARTIDA PLASTICO LD APACHEV";"12,000";"282,05";"0,000";"0,00";"0,000";"0,00";"12,000";"282,05";"D";
"315219 - TIRANTE CINTO SEGURANCA FECHO RETO 1";"2,000";"15,11";"0,000";"0,00";"0,000";"0,00";"2,000";"15,11";"A2-6";
"315220 - TIRANTE CINTO SEGURANCA FECHO RETO 5";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"C4-5";
"315233 - CONJUNTO DESCANSA BRACO POLTRONA TOR";"2,000";"172,92";"0,000";"0,00";"0,000";"0,00";"2,000";"172,92";"";
"315237 - DESCARBONIZANTE CANO EXTRA 2000";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"315260 - PARAFUSO AUTOBROCANTE 4,2X32MM";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"315316 - REPARO PISTAO SISTEMA PNEUMATICO TRI";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"315318 - CHAPA MDF 2,5MM";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"315331 - VIDRO JANELA PASSAGEIRO INCOLOR FIXO";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"315350 - MANCAL PORTA ELEVADOR INFERIOR SVELT";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"315352 - VIDRO JANELA MOVEL 550X450MM SVELTO/";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"315362 - RETROVISOR INTERNO 230X100MM";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"315363 - VIDRO MOVEL FUME 594X450 COMIL SVELT";"1,000";"120,00";"0,000";"0,00";"0,000";"0,00";"1,000";"120,00";"";
"315396 - VIDRO PORTA DIANTEIRO 39X91X101 SVEL";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"315397 - VIDRO JANELA PASSAGEIRO MOVEL 760X45";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"315398 - LENTE PARADA SOLICITADA NEW TORINO";"2,000";"88,66";"0,000";"0,00";"0,000";"0,00";"2,000";"88,66";"C2-5";
"315461 - CILINDRO HIDRAULICO ELEVADOR FOCA";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"315519 - PORCA BORBOLETA M6 6MM";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"315532 - TERMINAL ROTULAR PORTA UNIVERSAL";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"C5-6";
"315587 - VIDRO ITINERARIO 2308X350 APACHEVIP";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"315599 - AMORTECEDOR MOLA GAS ELEVADOR ORTOBR";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"315708 - VIDRO ITINERARIO 2,15X32,5 APACHEVIP";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"0,000";"0,00";"";
"315727 - TRINCO TAMPA LATERAL MOTOR SVELTO";"1,000";"45,00";"0,000";"0,00";"0,000";"0,00";"1,000";"45,00";"C5-3";
